composite_feature,stock_factor,macro_factor,stock_standardized_column,macro_standardized_column,formula,is_composite
composite_净资产收益率_TTM_x_bm,净资产收益率(TTM),bm,std_stock_净资产收益率_TTM,std_macro_bm,std_stock_净资产收益率_TTM * std_macro_bm,True
composite_净资产收益率_TTM_x_de,净资产收益率(TTM),de,std_stock_净资产收益率_TTM,std_macro_de,std_stock_净资产收益率_TTM * std_macro_de,True
composite_净资产收益率_TTM_x_dp,净资产收益率(TTM),dp,std_stock_净资产收益率_TTM,std_macro_dp,std_stock_净资产收益率_TTM * std_macro_dp,True
composite_净资产收益率_TTM_x_ep,净资产收益率(TTM),ep,std_stock_净资产收益率_TTM,std_macro_ep,std_stock_净资产收益率_TTM * std_macro_ep,True
composite_净资产收益率_TTM_x_infl,净资产收益率(TTM),infl,std_stock_净资产收益率_TTM,std_macro_infl,std_stock_净资产收益率_TTM * std_macro_infl,True
composite_净资产收益率_TTM_x_itgr,净资产收益率(TTM),itgr,std_stock_净资产收益率_TTM,std_macro_itgr,std_stock_净资产收益率_TTM * std_macro_itgr,True
composite_净资产收益率_TTM_x_m2gr,净资产收益率(TTM),m2gr,std_stock_净资产收益率_TTM,std_macro_m2gr,std_stock_净资产收益率_TTM * std_macro_m2gr,True
composite_净资产收益率_TTM_x_mtr,净资产收益率(TTM),mtr,std_stock_净资产收益率_TTM,std_macro_mtr,std_stock_净资产收益率_TTM * std_macro_mtr,True
composite_净资产收益率_TTM_x_ntis,净资产收益率(TTM),ntis,std_stock_净资产收益率_TTM,std_macro_ntis,std_stock_净资产收益率_TTM * std_macro_ntis,True
composite_净资产收益率_TTM_x_svar,净资产收益率(TTM),svar,std_stock_净资产收益率_TTM,std_macro_svar,std_stock_净资产收益率_TTM * std_macro_svar,True
composite_净资产收益率_TTM_x_tms,净资产收益率(TTM),tms,std_stock_净资产收益率_TTM,std_macro_tms,std_stock_净资产收益率_TTM * std_macro_tms,True
composite_总资产报酬率_TTM_x_bm,总资产报酬率(TTM),bm,std_stock_总资产报酬率_TTM,std_macro_bm,std_stock_总资产报酬率_TTM * std_macro_bm,True
composite_总资产报酬率_TTM_x_de,总资产报酬率(TTM),de,std_stock_总资产报酬率_TTM,std_macro_de,std_stock_总资产报酬率_TTM * std_macro_de,True
composite_总资产报酬率_TTM_x_dp,总资产报酬率(TTM),dp,std_stock_总资产报酬率_TTM,std_macro_dp,std_stock_总资产报酬率_TTM * std_macro_dp,True
composite_总资产报酬率_TTM_x_ep,总资产报酬率(TTM),ep,std_stock_总资产报酬率_TTM,std_macro_ep,std_stock_总资产报酬率_TTM * std_macro_ep,True
composite_总资产报酬率_TTM_x_infl,总资产报酬率(TTM),infl,std_stock_总资产报酬率_TTM,std_macro_infl,std_stock_总资产报酬率_TTM * std_macro_infl,True
composite_总资产报酬率_TTM_x_itgr,总资产报酬率(TTM),itgr,std_stock_总资产报酬率_TTM,std_macro_itgr,std_stock_总资产报酬率_TTM * std_macro_itgr,True
composite_总资产报酬率_TTM_x_m2gr,总资产报酬率(TTM),m2gr,std_stock_总资产报酬率_TTM,std_macro_m2gr,std_stock_总资产报酬率_TTM * std_macro_m2gr,True
composite_总资产报酬率_TTM_x_mtr,总资产报酬率(TTM),mtr,std_stock_总资产报酬率_TTM,std_macro_mtr,std_stock_总资产报酬率_TTM * std_macro_mtr,True
composite_总资产报酬率_TTM_x_ntis,总资产报酬率(TTM),ntis,std_stock_总资产报酬率_TTM,std_macro_ntis,std_stock_总资产报酬率_TTM * std_macro_ntis,True
composite_总资产报酬率_TTM_x_svar,总资产报酬率(TTM),svar,std_stock_总资产报酬率_TTM,std_macro_svar,std_stock_总资产报酬率_TTM * std_macro_svar,True
composite_总资产报酬率_TTM_x_tms,总资产报酬率(TTM),tms,std_stock_总资产报酬率_TTM,std_macro_tms,std_stock_总资产报酬率_TTM * std_macro_tms,True
composite_销售净利率_TTM_x_bm,销售净利率(TTM),bm,std_stock_销售净利率_TTM,std_macro_bm,std_stock_销售净利率_TTM * std_macro_bm,True
composite_销售净利率_TTM_x_de,销售净利率(TTM),de,std_stock_销售净利率_TTM,std_macro_de,std_stock_销售净利率_TTM * std_macro_de,True
