split,rating,avg_future_return,median_future_return,stock_count,positive_rate,rating_order
test,AAA,-1.8777664456890513,-2.56286098593357,550,0.43272727272727274,0
test,AA+,-0.5636035481258929,-2.43905583774609,550,0.44363636363636366,1
test,AA,2.3669242477784107,0.414507772020722,545,0.5082568807339449,2
test,AA-,1.749346695687898,-0.843611853954046,550,0.4727272727272727,3
test,A+,-0.4555562705794008,-1.57657657657657,545,0.45504587155963305,4
test,A,-1.008982758293724,-2.0250438512719153,550,0.44181818181818183,5
test,A-,-0.10829860103902751,-1.23966942148759,545,0.46055045871559636,6
test,BBB+,0.7027294138009983,-1.11297113205188,550,0.45454545454545453,7
test,BBB,0.4020371572607949,-0.745156482861398,545,0.47339449541284406,8
test,BBB-,0.07483140349551858,-0.7762441585971005,550,0.4727272727272727,9
test,BB+,1.541922958627194,-0.0889679715302405,545,0.4935779816513762,10
test,BB,2.105472252254353,-0.2481389578163855,550,0.4890909090909091,11
test,B,2.0084835930316824,-0.48907464445872,545,0.48440366972477067,12
train,AAA,6.558607509290346,0.0,990,0.49797979797979797,0
train,AA+,4.66930020706413,-0.066666666666665,990,0.49292929292929294,1
train,AA,4.09009269931266,-0.981595092024534,981,0.4801223241590214,2
train,AA-,3.370170580250397,-0.6503276245113655,990,0.47878787878787876,3
train,A+,4.432672479288221,-0.570342205323182,981,0.48521916411824667,4
train,A,2.857483099219374,-1.66292450541434,990,0.44242424242424244,5
train,A-,3.141299191250583,-0.751879699248126,981,0.4709480122324159,6
train,BBB+,3.2400596892530684,-0.5693395484226205,990,0.48484848484848486,7
train,BBB,3.3025059336283413,-0.53763440860215,981,0.4892966360856269,8
train,BBB-,3.473330493825719,-0.820091368220349,990,0.47474747474747475,9
train,BB+,3.3538966569384465,-0.930232558139521,981,0.4709480122324159,10
train,BB,3.4020152273755193,-0.6906836747067435,990,0.47373737373737373,11
train,B,3.0536282386854325,-1.37614678899082,981,0.4617737003058104,12
valid,AAA,1.3060838635455652,-1.566819887831545,440,0.4590909090909091,0
valid,AA+,3.025586760640988,-2.232213842764015,440,0.47045454545454546,1
valid,AA,2.52512682724272,-1.173817041900255,436,0.47477064220183485,2
valid,AA-,4.586878999108744,0.10577421140999249,440,0.5022727272727273,3
valid,A+,2.822115972966529,-0.670462485319695,436,0.48394495412844035,4
valid,A,2.752972392851871,-0.9708554866183285,440,0.47954545454545455,5
valid,A-,6.749203226110241,3.253014526742075,436,0.5642201834862385,6
valid,BBB+,3.4588118088130604,0.7817676656768915,440,0.5318181818181819,7
valid,BBB,5.923452425110745,2.0145171470650203,436,0.5435779816513762,8
valid,BBB-,6.097645790264256,1.875949268178335,440,0.5340909090909091,9
valid,BB+,8.308307232772663,2.48398764985642,436,0.5435779816513762,10
valid,BB,5.882454735663993,1.751570655655045,440,0.5318181818181819,11
valid,B,8.494166495497964,4.019058899536975,436,0.5802752293577982,12
