column,included_as_stock_factor,reason
quarter_idx,False,meta_or_explicit_return_field
sheet_name,False,meta_or_explicit_return_field
row_id_raw,False,meta_or_explicit_return_field
证券代码,False,meta_or_explicit_return_field
证券名称,False,meta_or_explicit_return_field
净资产收益率(TTM),True,base_stock_factor
总资产报酬率(TTM),True,base_stock_factor
销售净利率(TTM),True,base_stock_factor
销售毛利率(TTM),True,base_stock_factor
经营活动净收益/利润总额(TTM),True,base_stock_factor
营业外收支净额/利润总额(TTM),True,base_stock_factor
营业利润/利润总额(TTM),True,base_stock_factor
利润总额/营业收入(TTM),True,base_stock_factor
经营活动产生的现金流量净额/营业收入(TTM),True,base_stock_factor
经营活动产生的现金流量净额/营业利润(TTM),True,base_stock_factor
营业收入(1年，增长率),True,base_stock_factor
营业利润(1年，增长率),True,base_stock_factor
利润总额(1年，增长率),True,base_stock_factor
净资产收益率(1年，增长率),True,base_stock_factor
总资产周转率(TTM),True,base_stock_factor
总市值(证监会算法),True,base_stock_factor
流通市值,True,base_stock_factor
市盈率PE(TTM),True,base_stock_factor
市净率PB(LF),True,base_stock_factor
市销率PS(TTM),True,base_stock_factor
市现率PCF(经营性现金流TTM),True,base_stock_factor
区间涨跌幅(1月),False,meta_or_explicit_return_field
区间涨跌幅(3月),False,meta_or_explicit_return_field
区间涨跌幅(6月),False,meta_or_explicit_return_field
月平均收益率,False,meta_or_explicit_return_field
future_return_1q,False,meta_or_explicit_return_field
split,False,meta_or_explicit_return_field
