feature,selected_count,avg_abs_coefficient,first_selected_avg_step,stock_factor,macro_factor,is_composite,feature_group
composite_市净率PB_LF_x_bm,12,2.037053198329836,1.75,市净率PB(LF),bm,True,macro_micro_composite
composite_销售毛利率_TTM_x_infl,11,1.8825425239641682,2.6363636363636362,销售毛利率(TTM),infl,True,macro_micro_composite
composite_净资产收益率_1年_增长率_x_bm,11,1.4128650667687475,5.818181818181818,净资产收益率(1年，增长率),bm,True,macro_micro_composite
composite_总市值_证监会算法_x_bm,10,2.1978015879704706,3.4,总市值(证监会算法),bm,True,macro_micro_composite
composite_市净率PB_LF_x_svar,9,2.4053038867145036,3.4444444444444446,市净率PB(LF),svar,True,macro_micro_composite
composite_营业收入_1年_增长率_x_itgr,8,1.3629714303609244,4.375,营业收入(1年，增长率),itgr,True,macro_micro_composite
composite_市净率PB_LF_x_ep,8,1.2813907340807678,4.625,市净率PB(LF),ep,True,macro_micro_composite
composite_营业外收支净额_利润总额_TTM_x_tms,8,0.8957620885724833,10.25,营业外收支净额/利润总额(TTM),tms,True,macro_micro_composite
composite_市净率PB_LF_x_infl,6,2.6255378290427225,7.666666666666667,市净率PB(LF),infl,True,macro_micro_composite
composite_市净率PB_LF_x_de,6,1.764624020891252,5.333333333333333,市净率PB(LF),de,True,macro_micro_composite
composite_市盈率PE_TTM_x_tms,6,0.7146160284204309,10.666666666666666,市盈率PE(TTM),tms,True,macro_micro_composite
composite_市净率PB_LF_x_itgr,5,1.912651794700293,4.4,市净率PB(LF),itgr,True,macro_micro_composite
composite_市净率PB_LF_x_dp,5,1.8872588132493266,5.2,市净率PB(LF),dp,True,macro_micro_composite
composite_营业外收支净额_利润总额_TTM_x_ep,5,1.2884035532681888,4.2,营业外收支净额/利润总额(TTM),ep,True,macro_micro_composite
composite_经营活动产生的现金流量净额_营业收入_TTM_x_bm,5,1.2607940314029435,10.0,经营活动产生的现金流量净额/营业收入(TTM),bm,True,macro_micro_composite
composite_销售毛利率_TTM_x_dp,5,1.1801767230387883,8.4,销售毛利率(TTM),dp,True,macro_micro_composite
composite_经营活动产生的现金流量净额_营业收入_TTM_x_ntis,5,0.9159111344489637,8.6,经营活动产生的现金流量净额/营业收入(TTM),ntis,True,macro_micro_composite
composite_经营活动净收益_利润总额_TTM_x_ep,5,0.8560010578563318,12.6,经营活动净收益/利润总额(TTM),ep,True,macro_micro_composite
composite_市销率PS_TTM_x_bm,4,1.5219314026667559,13.25,市销率PS(TTM),bm,True,macro_micro_composite
composite_营业外收支净额_利润总额_TTM_x_infl,4,1.1496386698660925,6.75,营业外收支净额/利润总额(TTM),infl,True,macro_micro_composite
composite_市销率PS_TTM_x_infl,4,0.9197030564266994,11.0,市销率PS(TTM),infl,True,macro_micro_composite
composite_市盈率PE_TTM_x_itgr,4,0.9056736324325734,10.75,市盈率PE(TTM),itgr,True,macro_micro_composite
composite_销售毛利率_TTM_x_bm,4,0.9040562554687146,13.5,销售毛利率(TTM),bm,True,macro_micro_composite
composite_流通市值_x_de,4,0.8314331333377725,13.25,流通市值,de,True,macro_micro_composite
composite_总资产周转率_TTM_x_de,4,0.7383335094539661,12.75,总资产周转率(TTM),de,True,macro_micro_composite
composite_市净率PB_LF_x_ntis,3,2.2476245653739304,6.333333333333333,市净率PB(LF),ntis,True,macro_micro_composite
