split,metric,value
train,mse,584.3087007849932
train,rmse,24.172478168052884
train,mae,15.77568135734286
train,r2,-0.09903405345791483
train,mean_rankic,0.016674454134790337
train,top10_avg_return,5.036638462888489
train,top20_avg_return,5.912557504888202
train,top30_avg_return,5.661472718420254
valid,mse,830.4107644242356
valid,rmse,28.816848620628793
valid,mae,18.38221720588231
valid,r2,-0.0570989034455458
valid,mean_rankic,-0.041982793168462394
valid,top10_avg_return,6.590105499783375
valid,top20_avg_return,7.560212394304917
valid,top30_avg_return,3.5166890677363987
test,mse,361.54264898051866
test,rmse,19.014274873907727
test,mae,13.20349910133002
test,r2,-0.14268483079352245
test,mean_rankic,0.022265473946565584
test,top10_avg_return,-1.08174447062743
test,top20_avg_return,-3.1797572394545677
test,top30_avg_return,-2.5384731680854435
