source_column,standardized_column,median_train,winsor_p01_train,winsor_p99_train,mean_train,std_train,group
净资产收益率(TTM),std_stock_净资产收益率_TTM,5.697900000000001,-101.763182,36.522870000000005,4.202852655163189,16.787165286315716,stock_factor
总资产报酬率(TTM),std_stock_总资产报酬率_TTM,4.69925,-32.931237,25.194382,4.732210657437132,7.742156874823465,stock_factor
销售净利率(TTM),std_stock_销售净利率_TTM,5.741,-121.40443199999999,42.39483800000003,4.007638048421616,20.013968203434683,stock_factor
销售毛利率(TTM),std_stock_销售毛利率_TTM,24.3682,-2.086038,80.23798100000002,27.78432367576244,16.863214885552093,stock_factor
经营活动净收益/利润总额(TTM),std_stock_经营活动净收益_利润总额_TTM,78.908,-775.6913,123.98400800000017,45.99546126605137,117.91995167616501,stock_factor
营业外收支净额/利润总额(TTM),std_stock_营业外收支净额_利润总额_TTM,1.0114,-53.173475999999994,252.68256600000046,9.311682313402894,35.623880061509034,stock_factor
营业利润/利润总额(TTM),std_stock_营业利润_利润总额_TTM,99.2409,-181.02074299999998,286.15509700000024,92.65969253277153,45.965389059186776,stock_factor
利润总额/营业收入(TTM),std_stock_利润总额_营业收入_TTM,6.84175,-119.97273399999999,49.846531000000034,5.560518439004816,20.882877921149205,stock_factor
经营活动产生的现金流量净额/营业收入(TTM),std_stock_经营活动产生的现金流量净额_营业收入_TTM,8.4172,-48.36088099999999,51.181980000000024,8.621044753210274,14.276184122139101,stock_factor
经营活动产生的现金流量净额/营业利润(TTM),std_stock_经营活动产生的现金流量净额_营业利润_TTM,84.2933,-2270.2798029999994,2431.2160240000358,93.86826586075479,476.5731638347182,stock_factor
营业收入(1年，增长率),std_stock_营业收入_1年_增长率,11.4683082252732,-58.24551164977602,206.65696981479735,17.44146571294202,38.50722569063395,stock_factor
营业利润(1年，增长率),std_stock_营业利润_1年_增长率,12.071825001416599,-820.9620711118839,1520.400048522511,38.94870267145041,242.6639878647817,stock_factor
利润总额(1年，增长率),std_stock_利润总额_1年_增长率,12.64840388376835,-938.2021316978766,1465.33234221436,34.608300707518005,241.74371768368044,stock_factor
净资产收益率(1年，增长率),std_stock_净资产收益率_1年_增长率,-1.86901033899989,-1074.9799112996268,1104.5557744689372,8.19441683180574,217.29424374464548,stock_factor
总资产周转率(TTM),std_stock_总资产周转率_TTM,0.5647,0.0792,2.287970000000001,0.6403429674959872,0.37531397535843614,stock_factor
总市值(证监会算法),std_stock_总市值_证监会算法,6408049391.36,1477711036.431,133667993682.05887,12458915222.747614,19011309823.715874,stock_factor
流通市值,std_stock_流通市值,6365157506.440001,1466406900.0,133616241101.45206,12408298578.877897,18988520083.64294,stock_factor
市盈率PE(TTM),std_stock_市盈率PE_TTM,34.2485122680664,-553.4815039062502,927.0652636718828,58.89580977308623,157.9408148105931,stock_factor
市净率PB(LF),std_stock_市净率PB_LF,2.68849205970764,0.667514805197716,22.697569751739636,3.6445963003514708,3.2831198811038447,stock_factor
市销率PS(TTM),std_stock_市销率PS_TTM,2.78754544258118,0.2635908722877505,41.053079757690746,4.805340353384569,6.20140462370605,stock_factor
市现率PCF(经营性现金流TTM),std_stock_市现率PCF_经营性现金流TTM,19.2484111785889,-1014.3235766601549,891.5302081298851,20.97361366679909,184.90316950266774,stock_factor
bm,std_macro_bm,3.90275437565029,3.51934659723513,5.04257888732259,4.031408507413519,0.43288202567347783,macro_factor
de,std_macro_de,-2.28863255545278,-3.45376249092819,-0.748219819833087,-2.193882119807044,0.8344397910353766,macro_factor
dp,std_macro_dp,8.89938593731703,8.07096043358984,10.6669364024359,9.224485402967403,0.8560522276717785,macro_factor
ep,std_macro_ep,-1.61399527865418,-2.12250614755089,-1.37642120230648,-1.6689215770684511,0.2526316727454711,macro_factor
infl,std_macro_infl,100.2,99.1,101.4,100.30000000000001,0.5099019513592876,macro_factor
itgr,std_macro_itgr,4.1,-14.3,25.6,5.195238095238095,10.857101085969175,macro_factor
m2gr,std_macro_m2gr,9.2,8.0,14.0,9.776190476190477,1.6382059763234131,macro_factor
mtr,std_macro_mtr,0.193634240316266,0.105468867635588,0.319911992538317,0.20092778331660432,0.057535175065398084,macro_factor
ntis,std_macro_ntis,0.0241041173060918,0.0105587473842225,0.0327723737628041,0.020877906886234764,0.007375024090752413,macro_factor
svar,std_macro_svar,0.00190235,0.00015928,0.00730539,0.002248808095238095,0.0018355760337070211,macro_factor
tms,std_macro_tms,0.5704,0.2365,1.4377,0.6065666666666667,0.24410707512684537,macro_factor
