quarter_idx,feature,weight,direction,coefficient_for_direction,selected_count,sign_stability,entropy_weight_method,preference_function
13,composite_净资产收益率_TTM_x_bm,0.04553393588518407,negative,-3.128647444868855,1,1.0,capped_20,linear
13,composite_流通市值_x_bm,0.006195935875323203,negative,-3.080238637576077,1,1.0,capped_20,linear
13,composite_流通市值_x_itgr,0.006195935875323203,positive,2.677406577338695,1,1.0,capped_20,linear
13,composite_市净率PB_LF_x_ntis,0.12952334883904573,negative,-2.565456832894616,1,1.0,capped_20,linear
13,composite_销售毛利率_TTM_x_dp,0.053401812395984065,negative,-2.223726652037601,1,1.0,capped_20,linear
13,composite_净资产收益率_TTM_x_itgr,0.04553393588518435,positive,2.189748344745528,1,1.0,capped_20,linear
13,composite_总资产周转率_TTM_x_infl,0.06719017089299004,positive,2.0714902769324173,1,1.0,capped_20,linear
13,composite_总市值_证监会算法_x_ntis,0.2122763816622197,negative,-1.9971386165910994,1,1.0,capped_20,linear
13,composite_总资产周转率_TTM_x_ntis,0.012480616987642554,positive,1.3771596604353518,1,1.0,capped_20,linear
13,composite_市销率PS_TTM_x_m2gr,0.20114021134156782,negative,-1.3347697931316698,1,1.0,capped_20,linear
13,composite_市销率PS_TTM_x_infl,0.20114021134156782,positive,1.3270427974068029,1,1.0,capped_20,linear
13,composite_经营活动产生的现金流量净额_营业收入_TTM_x_ntis,0.019387503017967416,positive,1.1681120823022277,1,1.0,capped_20,linear
14,composite_净资产收益率_TTM_x_bm,0.14230694380131212,negative,-2.842864418740581,2,1.0,capped_20,linear
14,composite_市净率PB_LF_x_ntis,0.30743952696734134,negative,-2.5546539205399172,2,1.0,capped_20,linear
14,composite_流通市值_x_itgr,0.019301816233227614,positive,2.378501714670678,2,1.0,capped_20,linear
14,composite_净资产收益率_TTM_x_itgr,0.14230694380131212,positive,2.348346824302207,2,1.0,capped_20,linear
14,composite_市销率PS_TTM_x_m2gr,0.30743952696734134,negative,-1.3569886903593744,2,1.0,capped_20,linear
14,composite_市销率PS_TTM_x_infl,0.012780249383000635,positive,1.322636495342148,2,1.0,capped_20,linear
14,composite_经营活动产生的现金流量净额_营业收入_TTM_x_ntis,0.06842499284646467,positive,1.1417982169005798,2,1.0,capped_20,linear
15,composite_市净率PB_LF_x_ntis,0.24053390796745608,negative,-2.382541765101339,3,1.0,capped_20,linear
15,composite_净资产收益率_TTM_x_itgr,0.06296489429626122,positive,1.910496143530554,3,1.0,capped_20,linear
15,composite_净资产收益率_TTM_x_bm,0.06296489429626122,negative,-2.842864418740581,2,1.0,capped_20,linear
15,composite_流通市值_x_itgr,0.009816313039691073,positive,2.378501714670678,2,1.0,capped_20,linear
15,composite_净资产收益率_TTM_x_dp,0.06296489429626037,negative,-1.9674622160560613,2,1.0,capped_20,linear
15,composite_流通市值_x_mtr,0.009816313039691497,positive,1.7557049760059555,2,1.0,capped_20,linear
15,composite_销售毛利率_TTM_x_dp,0.03658083017765233,negative,-1.7005598616577333,2,1.0,capped_20,linear
15,composite_市销率PS_TTM_x_m2gr,0.24053390796745608,negative,-1.3569886903593744,2,1.0,capped_20,linear
15,composite_市销率PS_TTM_x_infl,0.24053390796745608,positive,1.322636495342148,2,1.0,capped_20,linear
15,composite_经营活动产生的现金流量净额_营业收入_TTM_x_ntis,0.033290136951814105,positive,1.1417982169005798,2,1.0,capped_20,linear
16,composite_市净率PB_LF_x_ntis,0.21756870964352154,negative,-2.31703466702945,4,1.0,capped_20,linear
16,composite_净资产收益率_TTM_x_itgr,0.06484465600984848,positive,1.910496143530554,3,1.0,capped_20,linear
16,composite_总市值_证监会算法_x_bm,0.009981122790630972,negative,-3.127753928755676,2,1.0,capped_20,linear
16,composite_净资产收益率_TTM_x_bm,0.06484465600984848,negative,-2.842864418740581,2,1.0,capped_20,linear
16,composite_流通市值_x_itgr,0.009964161855049055,positive,2.378501714670678,2,1.0,capped_20,linear
16,composite_净资产收益率_TTM_x_dp,0.015219713139545343,negative,-1.9674622160560613,2,1.0,capped_20,linear
16,composite_流通市值_x_mtr,0.009964161855049433,positive,1.7557049760059555,2,1.0,capped_20,linear
16,composite_销售毛利率_TTM_x_dp,0.0745327924869741,negative,-1.7005598616577333,2,1.0,capped_20,linear
16,composite_销售净利率_TTM_x_m2gr,0.014091592513250983,negative,-1.5993843732356914,2,1.0,capped_20,linear
16,composite_市销率PS_TTM_x_m2gr,0.22968220001708628,negative,-1.3569886903593744,2,1.0,capped_20,linear
16,composite_市销率PS_TTM_x_infl,0.22968220001708628,positive,1.322636495342148,2,1.0,capped_20,linear
16,composite_销售毛利率_TTM_x_bm,0.03253639509896677,negative,-1.2177027762541472,2,1.0,capped_20,linear
16,composite_经营活动产生的现金流量净额_营业收入_TTM_x_ntis,0.027087638563142256,positive,1.1417982169005798,2,1.0,capped_20,linear
17,composite_市净率PB_LF_x_ntis,0.3421451304782873,negative,-2.31703466702945,4,1.0,capped_20,linear
17,composite_净资产收益率_TTM_x_itgr,0.12686465144599288,positive,1.910496143530554,3,1.0,capped_20,linear
17,composite_销售净利率_TTM_x_m2gr,0.03427667290136126,negative,-1.6243904211309104,3,1.0,capped_20,linear
17,composite_流通市值_x_mtr,0.3421451304782873,positive,1.5405745034824703,3,1.0,capped_20,linear
17,composite_销售毛利率_TTM_x_dp,0.15456841469607127,negative,-1.4971717086750143,3,1.0,capped_20,linear
18,composite_市净率PB_LF_x_ntis,0.33321552874803384,negative,-2.31703466702945,4,1.0,capped_20,linear
18,composite_流通市值_x_bm,0.02513159766693021,negative,-2.7719227833206195,3,1.0,capped_20,linear
18,composite_净资产收益率_TTM_x_itgr,0.11930736947579935,positive,1.910496143530554,3,1.0,capped_20,linear
18,composite_销售净利率_TTM_x_m2gr,0.12647275734643557,negative,-1.6243904211309104,3,1.0,capped_20,linear
18,composite_流通市值_x_mtr,0.33321552874803384,positive,1.5405745034824703,3,1.0,capped_20,linear
18,composite_销售毛利率_TTM_x_dp,0.06265721801476722,negative,-1.4971717086750143,3,1.0,capped_20,linear
19,composite_流通市值_x_bm,0.0188627865574126,negative,-2.455568104261422,4,1.0,capped_20,linear
19,composite_市净率PB_LF_x_ntis,0.2613407144274102,negative,-2.31703466702945,4,1.0,capped_20,linear
19,composite_流通市值_x_mtr,0.2613407144274102,positive,1.7961543847357544,4,1.0,capped_20,linear
19,composite_净资产收益率_TTM_x_itgr,0.07782888651506388,positive,1.0078331861760976,4,0.75,capped_20,linear
19,composite_销售净利率_TTM_x_m2gr,0.0799836235836072,negative,-1.6243904211309104,3,1.0,capped_20,linear
19,composite_销售毛利率_TTM_x_dp,0.03930256006168586,negative,-1.4971717086750143,3,1.0,capped_20,linear
19,composite_经营活动净收益_利润总额_TTM_x_ep,0.2613407144274102,negative,-1.3026466635934553,3,1.0,capped_20,linear
20,composite_流通市值_x_mtr,0.24826168232500065,positive,1.6909457588182957,5,1.0,capped_20,linear
20,composite_流通市值_x_bm,0.24826168232500065,negative,-2.455568104261422,4,1.0,capped_20,linear
20,composite_市净率PB_LF_x_ntis,0.20116806551269842,negative,-2.31703466702945,4,1.0,capped_20,linear
20,composite_销售毛利率_TTM_x_dp,0.06455462073629704,negative,-1.6041002379405394,4,1.0,capped_20,linear
20,composite_经营活动净收益_利润总额_TTM_x_ep,0.22902075780712633,negative,-1.3718362642259705,4,1.0,capped_20,linear
20,composite_净资产收益率_TTM_x_itgr,0.008733191293876837,positive,1.0078331861760976,4,0.75,capped_20,linear
21,composite_流通市值_x_mtr,0.29748850089610823,positive,1.6909457588182957,5,1.0,capped_20,linear
21,composite_经营活动净收益_利润总额_TTM_x_ep,0.006157497443485116,negative,-1.3703972724525066,5,1.0,capped_20,linear
21,composite_净资产收益率_TTM_x_itgr,0.010891938057718762,positive,1.5669116344271454,5,0.8,capped_20,linear
21,composite_流通市值_x_bm,0.29748850089610823,negative,-2.455568104261422,4,1.0,capped_20,linear
21,composite_市净率PB_LF_x_ntis,0.29629632708577935,negative,-2.31703466702945,4,1.0,capped_20,linear
21,composite_销售毛利率_TTM_x_dp,0.09167723562080024,negative,-1.6041002379405394,4,1.0,capped_20,linear
22,composite_流通市值_x_mtr,0.2490906760658063,positive,1.6909457588182957,5,1.0,capped_20,linear
22,composite_经营活动净收益_利润总额_TTM_x_ep,0.19346410561524854,negative,-1.3703972724525066,5,1.0,capped_20,linear
22,composite_净资产收益率_TTM_x_itgr,0.007486575555427454,positive,1.5669116344271454,5,0.8,capped_20,linear
22,composite_流通市值_x_bm,0.2490906760658063,negative,-2.455568104261422,4,1.0,capped_20,linear
22,composite_市净率PB_LF_x_ntis,0.20955231238545002,negative,-2.31703466702945,4,1.0,capped_20,linear
22,composite_销售毛利率_TTM_x_m2gr,0.0646695892661421,negative,-1.6735258670680324,4,1.0,capped_20,linear
22,composite_销售毛利率_TTM_x_dp,0.026646065046119157,negative,-1.6041002379405394,4,1.0,capped_20,linear
23,composite_流通市值_x_mtr,0.24577475095339626,positive,1.6909457588182957,5,1.0,capped_20,linear
23,composite_销售毛利率_TTM_x_dp,0.027263863927397634,negative,-1.6156761616375903,5,1.0,capped_20,linear
23,composite_经营活动净收益_利润总额_TTM_x_ep,0.19295855063248427,negative,-1.3703972724525066,5,1.0,capped_20,linear
23,composite_净资产收益率_TTM_x_itgr,0.007587332178188442,positive,1.5669116344271454,5,0.8,capped_20,linear
23,composite_净资产收益率_TTM_x_ntis,0.007587332178188773,negative,-2.952172268662907,4,1.0,capped_20,linear
23,composite_流通市值_x_bm,0.24577475095339626,negative,-2.455568104261422,4,1.0,capped_20,linear
23,composite_市净率PB_LF_x_ntis,0.2062817276671154,negative,-2.31703466702945,4,1.0,capped_20,linear
23,composite_销售毛利率_TTM_x_m2gr,0.06677169150983293,negative,-1.6735258670680324,4,1.0,capped_20,linear
24,composite_净资产收益率_TTM_x_itgr,0.007145132928549932,positive,0.8117041780662865,6,0.6666666666666666,capped_20,linear
24,composite_净资产收益率_TTM_x_ntis,0.007145132928548941,negative,-2.759449861745094,5,1.0,capped_20,linear
