preference_function,q,p,sigma,split,mean_rankic,top10_annualized_return,top20_annualized_return,top30_annualized_return,top10_sharpe,top20_sharpe,top30_sharpe,alpha,beta,max_drawdown,turnover,rating_separation,avg_net_flow_std,avg_top20_overlap_with_selected,selected_as_final,reason
usual,,,,all,,-0.045175292157990876,0.01514305435117258,-0.005421955844887694,-0.17967633364555882,0.060880805129759435,-0.021828516812140614,-0.10246797392260318,1.1770342807256475,-0.32131823404114856,0.7361111111111115,,0.2773441007547922,,False,Sensitivity comparison only; test metrics were not used to select the final preference function.
usual,,,,test,-0.16418984349892354,-0.2519469283183151,-0.19032465981554558,-0.19184384235740848,-1.7039782911429782,-0.9571728068614869,-1.0051080883108965,-0.21550486812100794,1.2253350789196165,-0.2264284683024732,0.9000000000000004,-6.156685303056532,0.2773441007547922,0.4,False,Sensitivity comparison only; test metrics were not used to select the final preference function.
usual,,,,train,-0.026915366872100888,0.13712198386932695,0.17923955578085882,0.15387172024277374,0.4929110056223811,0.6743820356937728,0.582880468652877,0.02585815294613439,1.1309583562792478,-0.08508693494770037,0.7277777777777781,0.04622262717907022,0.2773441007547922,0.5277777777777778,False,Sensitivity comparison only; test metrics were not used to select the final preference function.
usual,,,,valid,-0.12872475899561636,-0.12567070462789998,-0.03865474594183216,-0.07710699276336586,-0.476564703192561,-0.14781571132161073,-0.2774085081709832,-0.22292598042212036,1.1106025995532882,-0.1904047536136334,0.5500000000000002,-8.423829425796091,0.2773441007547922,0.55,False,Sensitivity comparison only; test metrics were not used to select the final preference function.
u_shape,0.05,,,all,,-0.0937383477937056,-0.04264653250186812,-0.024522384316131407,-0.3936548818848598,-0.16874859099456896,-0.10059737936302543,-0.15080983584438867,1.1041692359308735,-0.44322759921705046,0.6250000000000002,,0.22786206734667058,,False,Sensitivity comparison only; test metrics were not used to select the final preference function.
u_shape,0.05,,,test,-0.1544254799491785,-0.22169245186995556,-0.2337661705157985,-0.23383597819669577,-2.0553199439002237,-1.778215916386796,-1.58626981086223,-0.2653122260427731,0.7000247081546539,-0.2218793496844681,0.7300000000000002,-5.800921207784894,0.22786206734667058,0.67,False,Sensitivity comparison only; test metrics were not used to select the final preference function.
u_shape,0.05,,,train,-0.016563915650678895,0.03670846077873313,0.18898606026256948,0.18583276498483703,0.13139213200246252,0.7172910033781452,0.7295488466469648,0.0029132741214321634,1.3382016652541975,-0.06439598108248934,0.6611111111111113,0.5325575400806768,0.22786206734667058,0.6555555555555556,False,Sensitivity comparison only; test metrics were not used to select the final preference function.
u_shape,0.05,,,valid,-0.11925396732830579,-0.19001921477866734,-0.22334874877746735,-0.14979639833688674,-0.7283823807236911,-0.7817984992537451,-0.5535749357131573,-0.39169678949612163,0.9443132616055764,-0.21792192657726828,0.4125000000000001,-7.52501923150344,0.22786206734667058,0.8375,False,Sensitivity comparison only; test metrics were not used to select the final preference function.
v_shape,0.0,0.25,,all,,-0.04473424347127064,-0.057703570538431115,-0.022479843716108783,-0.17266660777117135,-0.22301198623900992,-0.09445633498392833,-0.17337135997125847,1.168340320979487,-0.4178619630796899,0.5277777777777779,,0.1675350609549603,,False,Sensitivity comparison only; test metrics were not used to select the final preference function.
v_shape,0.0,0.25,,test,-0.1513473810204439,-0.2191557514021929,-0.24905232572538727,-0.2324494857751439,-1.706069854613038,-2.2965865420761853,-1.864765029419008,-0.28393373998902205,0.5888885435371237,-0.22208031134951012,0.6200000000000002,-5.936912431101925,0.1675350609549603,0.9,False,Sensitivity comparison only; test metrics were not used to select the final preference function.
