feature,selected_count,avg_coefficient,avg_abs_coefficient,positive_coef_ratio,first_selected_avg_step,stock_factor,macro_factor,is_composite
composite_净资产收益率_TTM_x_ntis,10,-2.7626742709252525,2.7626742709252525,0.0,2.8,净资产收益率(TTM),ntis,True
composite_市净率PB_LF_x_svar,9,2.9695141745840763,2.9695141745840763,1.0,2.0,市净率PB(LF),svar,True
composite_净资产收益率_TTM_x_itgr,8,0.5967588820194707,2.1515331483142632,0.625,6.625,净资产收益率(TTM),itgr,True
composite_流通市值_x_svar,7,2.4810523229602977,2.4810523229602977,1.0,3.857142857142857,流通市值,svar,True
composite_总市值_证监会算法_x_bm,6,0.5923829386965094,2.9968570251273885,0.5,2.8333333333333335,总市值(证监会算法),bm,True
composite_流通市值_x_itgr,6,-0.7742195198763983,2.3598873296568503,0.3333333333333333,3.5,流通市值,itgr,True
composite_市现率PCF_经营性现金流TTM_x_m2gr,6,-1.2458188595444153,1.245818859544415,0.0,7.666666666666667,市现率PCF(经营性现金流TTM),m2gr,True
composite_流通市值_x_infl,5,0.10964659336422018,1.8422805246494516,0.4,6.4,流通市值,infl,True
composite_流通市值_x_mtr,5,1.6909457588182957,1.6909457588182957,1.0,5.4,流通市值,mtr,True
composite_净资产收益率_TTM_x_ep,5,0.49500869015849114,1.6899080284383785,0.8,7.8,净资产收益率(TTM),ep,True
composite_销售毛利率_TTM_x_m2gr,5,-1.6832479398475413,1.6832479398475413,0.0,4.8,销售毛利率(TTM),m2gr,True
composite_销售毛利率_TTM_x_dp,5,-1.6156761616375903,1.6156761616375899,0.0,5.2,销售毛利率(TTM),dp,True
composite_经营活动净收益_利润总额_TTM_x_ep,5,-1.3703972724525066,1.3703972724525066,0.0,6.2,经营活动净收益/利润总额(TTM),ep,True
composite_经营活动产生的现金流量净额_营业收入_TTM_x_ntis,5,-0.3342626248559104,1.2477011983763742,0.4,10.2,经营活动产生的现金流量净额/营业收入(TTM),ntis,True
composite_净资产收益率_TTM_x_m2gr,4,-1.644189257344251,3.0011926690933706,0.25,1.5,净资产收益率(TTM),m2gr,True
composite_流通市值_x_bm,4,-2.455568104261422,2.455568104261422,0.0,4.25,流通市值,bm,True
composite_市净率PB_LF_x_ntis,4,-2.31703466702945,2.3170346670294504,0.0,2.5,市净率PB(LF),ntis,True
composite_净资产收益率_TTM_x_svar,4,-2.1765361497481495,2.17653614974815,0.0,5.25,净资产收益率(TTM),svar,True
composite_市净率PB_LF_x_itgr,4,-1.7538997929876428,1.7538997929876428,0.0,5.75,市净率PB(LF),itgr,True
composite_销售毛利率_TTM_x_itgr,4,-1.5535761800379089,1.5535761800379089,0.0,8.0,销售毛利率(TTM),itgr,True
composite_市销率PS_TTM_x_infl,4,1.421018635653067,1.4210186356530672,1.0,8.5,市销率PS(TTM),infl,True
composite_销售毛利率_TTM_x_de,4,-1.401447797224423,1.401447797224423,0.0,7.5,销售毛利率(TTM),de,True
composite_净资产收益率_TTM_x_bm,3,-1.3405099802825358,2.4499759113715722,0.3333333333333333,4.666666666666667,净资产收益率(TTM),bm,True
composite_流通市值_x_m2gr,3,0.5727980333818328,1.8553014246327961,0.6666666666666666,8.0,流通市值,m2gr,True
composite_市净率PB_LF_x_m2gr,3,-1.7473763907052833,1.7473763907052833,0.0,4.666666666666667,市净率PB(LF),m2gr,True
composite_销售净利率_TTM_x_m2gr,3,-1.6243904211309104,1.6243904211309104,0.0,5.0,销售净利率(TTM),m2gr,True
composite_市销率PS_TTM_x_m2gr,3,-1.5456004315387866,1.5456004315387866,0.0,7.666666666666667,市销率PS(TTM),m2gr,True
composite_市盈率PE_TTM_x_m2gr,3,-1.328515702373104,1.328515702373104,0.0,7.0,市盈率PE(TTM),m2gr,True
composite_总资产周转率_TTM_x_m2gr,3,-1.1846848895853652,1.1846848895853652,0.0,9.666666666666666,总资产周转率(TTM),m2gr,True
composite_销售毛利率_TTM_x_bm,3,-0.4560154594242775,1.167588242247919,0.3333333333333333,8.333333333333334,销售毛利率(TTM),bm,True
composite_总资产周转率_TTM_x_dp,3,-1.1230766324036556,1.1230766324036556,0.0,9.0,总资产周转率(TTM),dp,True
composite_流通市值_x_tms,2,-1.2498459253555216,2.136756057616274,0.5,10.5,流通市值,tms,True
composite_净资产收益率_TTM_x_dp,2,-1.9674622160560613,1.9674622160560613,0.0,5.0,净资产收益率(TTM),dp,True
composite_总市值_证监会算法_x_itgr,2,-1.9087726503214815,1.9087726503214815,0.0,4.5,总市值(证监会算法),itgr,True
composite_总市值_证监会算法_x_ntis,2,-0.11160940302614653,1.8855292135649528,0.5,7.0,总市值(证监会算法),ntis,True
composite_总资产报酬率_TTM_x_bm,2,-1.6241759949676848,1.6241759949676848,0.0,10.0,总资产报酬率(TTM),bm,True
composite_总资产报酬率_TTM_x_infl,2,1.5095217943008223,1.5095217943008223,1.0,4.0,总资产报酬率(TTM),infl,True
composite_市净率PB_LF_x_ep,2,-1.442410855131803,1.442410855131803,0.0,5.5,市净率PB(LF),ep,True
composite_流通市值_x_dp,2,-0.1026282724109312,1.4132694379796797,0.5,8.0,流通市值,dp,True
composite_市净率PB_LF_x_mtr,2,-0.3076557659508815,1.2931745894100803,0.5,9.5,市净率PB(LF),mtr,True
composite_利润总额_营业收入_TTM_x_dp,2,-1.2802155253071206,1.2802155253071206,0.0,11.5,利润总额/营业收入(TTM),dp,True
composite_净资产收益率_TTM_x_infl,2,-1.2718013614890569,1.2718013614890569,0.0,8.0,净资产收益率(TTM),infl,True
composite_经营活动净收益_利润总额_TTM_x_mtr,2,1.2577427799774572,1.2577427799774572,1.0,9.0,经营活动净收益/利润总额(TTM),mtr,True
composite_营业外收支净额_利润总额_TTM_x_de,2,1.1906401281300463,1.1906401281300463,1.0,9.0,营业外收支净额/利润总额(TTM),de,True
composite_总市值_证监会算法_x_m2gr,2,1.1777326972451063,1.1777326972451063,1.0,10.5,总市值(证监会算法),m2gr,True
composite_市盈率PE_TTM_x_dp,2,-1.1246117391420614,1.1246117391420614,0.0,9.5,市盈率PE(TTM),dp,True
composite_市销率PS_TTM_x_ntis,2,-1.1165805334106742,1.1165805334106742,0.0,11.5,市销率PS(TTM),ntis,True
composite_市销率PS_TTM_x_tms,2,-0.26687931103758195,1.0585275684679256,0.5,11.0,市销率PS(TTM),tms,True
composite_营业利润_利润总额_TTM_x_dp,2,-1.0371896009027242,1.0371896009027242,0.0,8.5,营业利润/利润总额(TTM),dp,True
composite_经营活动产生的现金流量净额_营业收入_TTM_x_m2gr,2,-1.0087922308446131,1.0087922308446131,0.0,9.5,经营活动产生的现金流量净额/营业收入(TTM),m2gr,True
composite_销售毛利率_TTM_x_svar,2,-0.9975145616912752,0.9975145616912752,0.0,8.5,销售毛利率(TTM),svar,True
composite_市盈率PE_TTM_x_svar,2,0.9879211431923804,0.9879211431923804,1.0,9.5,市盈率PE(TTM),svar,True
composite_经营活动产生的现金流量净额_营业利润_TTM_x_m2gr,2,-0.9295143406756512,0.9295143406756512,0.0,10.5,经营活动产生的现金流量净额/营业利润(TTM),m2gr,True
composite_总市值_证监会算法_x_svar,1,2.7175941846400344,2.7175941846400344,1.0,4.0,总市值(证监会算法),svar,True
composite_总资产周转率_TTM_x_infl,1,2.0714902769324173,2.0714902769324173,1.0,10.0,总资产周转率(TTM),infl,True
composite_流通市值_x_ntis,1,-2.0413228764801814,2.0413228764801814,0.0,5.0,流通市值,ntis,True
composite_总资产报酬率_TTM_x_svar,1,-1.8616865838726606,1.8616865838726606,0.0,3.0,总资产报酬率(TTM),svar,True
composite_市净率PB_LF_x_infl,1,1.8147449115893355,1.8147449115893355,1.0,3.0,市净率PB(LF),infl,True
composite_总资产周转率_TTM_x_svar,1,1.6547762396261143,1.6547762396261143,1.0,11.0,总资产周转率(TTM),svar,True
composite_市净率PB_LF_x_de,1,1.5185534151723215,1.5185534151723215,1.0,12.0,市净率PB(LF),de,True
composite_销售毛利率_TTM_x_infl,1,1.4433360627315872,1.4433360627315872,1.0,5.0,销售毛利率(TTM),infl,True
composite_销售净利率_TTM_x_itgr,1,-1.4393547754927065,1.4393547754927065,0.0,7.0,销售净利率(TTM),itgr,True
composite_市销率PS_TTM_x_ep,1,-1.4019481723432317,1.4019481723432317,0.0,10.0,市销率PS(TTM),ep,True
composite_总资产周转率_TTM_x_ntis,1,1.3771596604353518,1.3771596604353518,1.0,12.0,总资产周转率(TTM),ntis,True
composite_营业外收支净额_利润总额_TTM_x_dp,1,1.3063510027201835,1.3063510027201835,1.0,5.0,营业外收支净额/利润总额(TTM),dp,True
composite_销售毛利率_TTM_x_mtr,1,-1.2890374289959359,1.2890374289959359,0.0,10.0,销售毛利率(TTM),mtr,True
composite_总资产周转率_TTM_x_itgr,1,-1.2798520806868903,1.2798520806868903,0.0,11.0,总资产周转率(TTM),itgr,True
composite_市销率PS_TTM_x_itgr,1,-1.2128084066470293,1.2128084066470293,0.0,8.0,市销率PS(TTM),itgr,True
composite_市销率PS_TTM_x_dp,1,-1.200615525136223,1.200615525136223,0.0,7.0,市销率PS(TTM),dp,True
composite_市净率PB_LF_x_dp,1,1.1833441317846478,1.1833441317846478,1.0,10.0,市净率PB(LF),dp,True
composite_经营活动净收益_利润总额_TTM_x_infl,1,1.1592632870773767,1.1592632870773767,1.0,11.0,经营活动净收益/利润总额(TTM),infl,True
composite_市盈率PE_TTM_x_infl,1,1.101315474238501,1.101315474238501,1.0,6.0,市盈率PE(TTM),infl,True
composite_总市值_证监会算法_x_tms,1,1.0974628312225823,1.0974628312225823,1.0,7.0,总市值(证监会算法),tms,True
composite_总资产周转率_TTM_x_mtr,1,-1.0748576265673575,1.0748576265673575,0.0,12.0,总资产周转率(TTM),mtr,True
composite_市现率PCF_经营性现金流TTM_x_dp,1,1.0411850179841728,1.0411850179841728,1.0,10.0,市现率PCF(经营性现金流TTM),dp,True
composite_经营活动净收益_利润总额_TTM_x_bm,1,-0.9409799005683026,0.9409799005683026,0.0,8.0,经营活动净收益/利润总额(TTM),bm,True
composite_经营活动产生的现金流量净额_营业收入_TTM_x_svar,1,-0.8538644052764751,0.8538644052764751,0.0,10.0,经营活动产生的现金流量净额/营业收入(TTM),svar,True
composite_经营活动净收益_利润总额_TTM_x_dp,1,0.8419092729067127,0.8419092729067127,1.0,10.0,经营活动净收益/利润总额(TTM),dp,True
composite_总资产周转率_TTM_x_ep,1,-0.769586884120074,0.769586884120074,0.0,11.0,总资产周转率(TTM),ep,True
