quarter_idx,feature,weight,direction,coefficient_for_direction,selected_count,sign_stability,entropy_weight_method,preference_function
13,composite_净资产收益率_TTM_x_bm,0.17000921789913354,negative,-3.126998461258084,1,1.0,smooth_80_20,linear
13,composite_流通市值_x_itgr,0.057690734649759504,positive,2.6758520407409367,1,1.0,smooth_80_20,linear
13,composite_市净率PB_LF_x_ntis,0.4098171255105616,negative,-2.563834963538246,1,1.0,smooth_80_20,linear
13,composite_销售毛利率_TTM_x_dp,0.19247370404141106,negative,-2.2226729649540973,1,1.0,smooth_80_20,linear
13,composite_净资产收益率_TTM_x_itgr,0.1700092178991343,positive,2.188283492820541,1,1.0,smooth_80_20,linear
14,composite_净资产收益率_TTM_x_bm,0.13970630983786583,negative,-2.841365875454727,2,1.0,smooth_80_20,linear
14,composite_市净率PB_LF_x_ntis,0.40581236270664905,negative,-2.5531046585165633,2,1.0,smooth_80_20,linear
14,composite_净资产收益率_TTM_x_itgr,0.13970630983786583,positive,2.346812980538829,2,1.0,smooth_80_20,linear
14,composite_流通市值_x_itgr,0.0436452190556183,positive,2.6758520407409367,1,1.0,smooth_80_20,linear
14,composite_净资产收益率_TTM_x_dp,0.13970630983786583,negative,-2.3398322844623065,1,1.0,smooth_80_20,linear
14,composite_销售毛利率_TTM_x_dp,0.08777826966851904,negative,-2.2226729649540973,1,1.0,smooth_80_20,linear
14,composite_流通市值_x_mtr,0.04364521905561622,positive,1.609438743112155,1,1.0,smooth_80_20,linear
15,composite_市净率PB_LF_x_ntis,0.38933652451761885,negative,-2.381167129595846,3,1.0,smooth_80_20,linear
15,composite_净资产收益率_TTM_x_bm,0.11273016239537807,negative,-2.841365875454727,2,1.0,smooth_80_20,linear
15,composite_净资产收益率_TTM_x_itgr,0.11273016239537807,positive,2.346812980538829,2,1.0,smooth_80_20,linear
15,composite_流通市值_x_mtr,0.03445675899988783,positive,1.7545318372332537,2,1.0,smooth_80_20,linear
15,composite_总市值_证监会算法_x_bm,0.03450829304572386,negative,-2.8693070113490795,1,1.0,smooth_80_20,linear
15,composite_流通市值_x_itgr,0.034456758999887205,positive,2.6758520407409367,1,1.0,smooth_80_20,linear
15,composite_净资产收益率_TTM_x_dp,0.11273016239537684,negative,-2.3398322844623065,1,1.0,smooth_80_20,linear
15,composite_销售毛利率_TTM_x_dp,0.07387361260341017,negative,-2.2226729649540973,1,1.0,smooth_80_20,linear
15,composite_总资产报酬率_TTM_x_svar,0.05338552762558817,negative,-1.8607133807620095,1,1.0,smooth_80_20,linear
15,composite_销售净利率_TTM_x_m2gr,0.041792037021750994,negative,-1.8179035837255624,1,1.0,smooth_80_20,linear
16,composite_市净率PB_LF_x_ntis,0.4898171946503528,negative,-2.31568677059292,4,1.0,smooth_80_20,linear
