preference_function,q,p,sigma,split,mean_rankic,top10_annualized_return,top10_sharpe,alpha,beta,max_drawdown,turnover,rating_separation,avg_net_flow_std,avg_top20_overlap_with_selected,top20_annualized_return,top20_sharpe,top30_annualized_return,top30_sharpe,selected_as_final,reason
gaussian,,,0.2,all,,-0.03393804463993255,-0.10772899958836231,-0.15772710878166915,1.3401691788060086,-0.4144279813222903,0.38333333333333336,,0.13351070034243936,,-0.01203433639482554,-0.041805094155620774,-0.021081425360412354,-0.08191301409010657,False,sensitivity comparison only; not selected by test performance
gaussian,,,0.2,test,-0.11537125513371874,-0.2564549730723976,-2.6669505392777695,-0.2946477585314198,0.6103415055667311,-0.22223718187647212,0.42000000000000004,,0.13351070034243936,,-0.18250768973553388,-2.6019245573220986,-0.19847180749188487,-2.0667703037926795,False,sensitivity comparison only; not selected by test performance
gaussian,,,0.2,train,-0.0577584357408527,0.18387976114846372,0.46544189411633663,-0.0639081444410877,1.9812968416752605,-0.06486154376594055,0.4222222222222222,,0.13351070034243936,,0.16625947667298524,0.4702817382036821,0.1307782327215432,0.4330622898509996,False,sensitivity comparison only; not selected by test performance
gaussian,,,0.2,valid,-0.10070530461260126,-0.15190163809044077,-0.6594296829987991,-0.28768200427448,0.7735652156593278,-0.17058848416968564,0.25,,0.13351070034243936,,-0.138124437648098,-0.4956150981712932,-0.09142283322378608,-0.323266726999298,False,sensitivity comparison only; not selected by test performance
level,0.05,0.25,,all,,-0.06956830257063251,-0.22981367652892576,-0.19476037219560183,1.3185285321244917,-0.3533487799631151,0.5055555555555555,,0.1719624036904418,,-0.03720847428845975,-0.12459463977843753,-0.011990200030811193,-0.04298568084508385,False,sensitivity comparison only; not selected by test performance
level,0.05,0.25,,test,-0.14778374431975488,-0.21628770931336916,-2.426594028974117,-0.24536160460119683,0.57353408158837,-0.19189928099014142,0.5800000000000001,,0.1719624036904418,,-0.19979959478401055,-3.0134775686800914,-0.20669947956488222,-2.192660218569957,False,sensitivity comparison only; not selected by test performance
level,0.05,0.25,,train,-0.05798574973066492,0.043203448261066146,0.10905387237159951,-0.19065046790804102,1.9696336979390934,-0.16231733403431514,0.5666666666666667,,0.1719624036904418,,0.11603531854290994,0.3098047527061408,0.15639704889562922,0.47453152160550993,False,sensitivity comparison only; not selected by test performance
level,0.05,0.25,,valid,-0.12139209753707204,-0.10863796164288841,-0.4516398866652481,-0.24822399085627245,0.8279618092097074,-0.17058848416968553,0.27499999999999997,,0.1719624036904418,,-0.1297954595689116,-0.45700185208214983,-0.08769980341808814,-0.29119321243528107,False,sensitivity comparison only; not selected by test performance
linear,0.05,0.25,,all,,-0.09452189973521585,-0.3248155874002199,-0.21212323734708466,1.243626039699253,-0.37171897533085074,0.49444444444444446,,0.1671927930534297,,-0.08774933294893406,-0.29371342053372806,-0.003568669770360744,-0.012627504870840906,True,linear is final robust PROMETHEE preference function; test metrics are diagnostics only
linear,0.05,0.25,,test,-0.12298758578167275,-0.22578726905726132,-3.035906278655492,-0.2516645931388479,0.2900580729890924,-0.22550040301759422,0.5800000000000001,,0.1671927930534297,,-0.2197592653681607,-2.479996868654482,-0.19807533982134606,-2.3924072595973676,True,linear is final robust PROMETHEE preference function; test metrics are diagnostics only
linear,0.05,0.25,,train,-0.05981883031270093,0.008010974726626152,0.021725250509471918,-0.22747749746380153,1.9649241965838127,-0.17297872022182248,0.577777777777778,,0.1671927930534297,,0.06803105474132876,0.18016444542379742,0.1677996203311931,0.4912836649411697,True,linear is final robust PROMETHEE preference function; test metrics are diagnostics only
linear,0.05,0.25,,valid,-0.10769038949992733,-0.13487560650115782,-0.4700435656404299,-0.25879829208491617,0.7789921173949715,-0.17058848416968553,0.2,,0.1671927930534297,,-0.22211688169868682,-0.8540473384861231,-0.08532358321025257,-0.2980241474738578,True,linear is final robust PROMETHEE preference function; test metrics are diagnostics only
u_shape,0.05,,,all,,-0.08344324772533074,-0.2774047302848469,-0.19477692871410124,1.20750241026294,-0.3410707798888952,0.6222222222222222,,0.24056988149405234,,-0.08366686735710238,-0.3301689157482853,-0.04532558903886963,-0.1806479355147731,False,sensitivity comparison only; not selected by test performance
u_shape,0.05,,,test,-0.15708909198179835,-0.23884315806441858,-4.305673545686754,-0.2700874424308456,0.35641581604873074,-0.21907152891833448,0.76,,0.24056988149405234,,-0.2143570205451042,-3.3138702030040657,-0.22031336177676997,-2.025029803656765,False,sensitivity comparison only; not selected by test performance
u_shape,0.05,,,train,-0.05727687094755607,0.01119479649824151,0.028871933593320808,-0.18558287010902874,1.7287890853523962,-0.23269234223006852,0.6666666666666667,,0.24056988149405234,,0.05627554589173811,0.18718502436537993,0.11193644503215272,0.38881249541363905,False,sensitivity comparison only; not selected by test performance
u_shape,0.05,,,valid,-0.13226848681581424,-0.07317855878968793,-0.2633307537098034,-0.21507825973406758,0.8908198175530659,-0.17058848416968553,0.35,,0.24056988149405234,,-0.1933039037659221,-0.6722591417122392,-0.12749337575510922,-0.455488540338557,False,sensitivity comparison only; not selected by test performance
usual,,,,all,,-0.08323854801138741,-0.3094267770934172,-0.1861728272445909,1.082964173520372,-0.36875729267583957,0.7000000000000001,,0.2887029677309626,,-0.06496020990963725,-0.29567256342977066,-0.051241807554479046,-0.24206090054158821,False,sensitivity comparison only; not selected by test performance
usual,,,,test,-0.19169782696279677,-0.23562767041801047,-3.512538715314304,-0.2683622462937986,0.49075656506775045,-0.19001946807611547,0.76,,0.2887029677309626,,-0.22071152593556576,-2.0242776108322214,-0.18431292086006446,-1.3379170945674472,False,sensitivity comparison only; not selected by test performance
usual,,,,train,-0.050342027895804595,0.016225169412669604,0.04702209889964519,-0.15283457942174278,1.4689537145959959,-0.1379091084767049,0.6777777777777778,,0.2887029677309626,,0.020130227160420455,0.08020954874628718,0.03889485441184726,0.17471016856743352,False,sensitivity comparison only; not selected by test performance
usual,,,,valid,-0.13900020001385188,-0.08736951925891068,-0.36294702348798363,-0.22038058379623843,0.8038476679515422,-0.17916300666269813,0.6750000000000002,,0.2887029677309626,,-0.03475521636974277,-0.13377541879323593,-0.06565049981241144,-0.23270118574222012,False,sensitivity comparison only; not selected by test performance
