split,score_name,top_k,rankic,annualized_return,alpha,sharpe_ratio,information_ratio,max_drawdown,turnover,excess_win_rate,signal_conversion_comment
valid,pure_stagewise_score,20,0.1794682482504289,1.0152375367945838,0.6398403670946543,5.419568271156504,2.292278705381624,0.0,0.9375000000000004,1.0,positive rankic with robust-selected portfolio metrics; validation only for selection
test,pure_stagewise_score,20,0.0917094940433002,-0.0080874368852401,-0.0206223771919473,-0.0413081039144903,-0.0703924061527925,0.0,0.6100000000000001,0.6,holdout diagnostics only; not used for parameter choice
valid,pure_stagewise_score,20,0.1794682482504289,0.9739611476614378,0.6054344297355162,4.814677213868772,2.1665663142327825,0.0,0.8625000000000004,1.0,positive rankic with robust-selected portfolio metrics; validation only for selection
test,pure_stagewise_score,20,0.0917094940433002,-0.0005851064104576,-0.0130803605615651,-0.0029515816338796,-0.0263081866697867,0.0,0.5600000000000003,0.8,holdout diagnostics only; not used for parameter choice
valid,pure_stagewise_score,30,0.1794682482504289,0.8066342734427605,0.5386665048606785,5.209270932311029,1.6562465263266932,0.0,0.8833333333333344,1.0,positive rankic with robust-selected portfolio metrics; validation only for selection
test,pure_stagewise_score,30,0.0917094940433002,0.0122811362830059,-0.0012674415965176,0.0635313221935132,0.0395434692936003,0.0,0.6066666666666669,0.6,holdout diagnostics only; not used for parameter choice
valid,pure_stagewise_score,30,0.1794682482504289,0.8134222565511231,0.5339063723995354,5.113397261053786,1.821914936700159,0.0,0.8500000000000009,1.0,positive rankic with robust-selected portfolio metrics; validation only for selection
test,pure_stagewise_score,30,0.0917094940433002,0.0072951952999551,-0.0062913105676995,0.0381023313553891,0.0087629309570674,0.0,0.5800000000000003,0.6,holdout diagnostics only; not used for parameter choice
valid,pure_stagewise_score,50,0.1794682482504289,0.6331771384302192,0.4511777649642583,6.067884146253302,1.1806446165902424,0.0,0.8500000000000005,0.75,positive rankic with robust-selected portfolio metrics; validation only for selection
test,pure_stagewise_score,50,0.0917094940433002,0.0176694855675605,0.0040677021480856,0.1003625183496493,0.0654083173855799,0.0,0.5800000000000003,0.6,holdout diagnostics only; not used for parameter choice
valid,pure_stagewise_score,20,0.1794682482504289,0.3851771779680997,0.2805679431416491,4.84250705650661,0.5158647641448747,0.0,0.8500000000000004,0.75,positive rankic with robust-selected portfolio metrics; validation only for selection
test,pure_stagewise_score,20,0.0917094940433002,0.0217063709675646,0.0097431448747286,0.1082831389688379,0.0858914630959338,0.0,0.6500000000000002,0.6,holdout diagnostics only; not used for parameter choice
