feature,selected_count,avg_coefficient,avg_abs_coefficient,positive_coef_ratio,first_selected_avg_step,stock_factor,macro_factor,is_composite
composite_净资产收益率_TTM_x_ntis,10,-2.5317956848445884,2.531795684844589,0.0,2.5,净资产收益率(TTM),ntis,True
composite_市净率PB_LF_x_svar,9,3.0412295807401595,3.0412295807401595,1.0,1.8888888888888888,市净率PB(LF),svar,True
composite_总市值_证监会算法_x_bm,5,0.9019712555057537,3.4028545710695446,0.6,1.2,总市值(证监会算法),bm,True
composite_流通市值_x_itgr,5,-1.3421598031609174,2.412500619457292,0.2,2.6,流通市值,itgr,True
composite_净资产收益率_TTM_x_m2gr,4,-1.7365649583819043,2.90637047978918,0.25,1.25,净资产收益率(TTM),m2gr,True
composite_市净率PB_LF_x_ntis,4,-2.31568677059292,2.31568677059292,0.0,2.5,市净率PB(LF),ntis,True
composite_流通市值_x_mtr,4,1.0702846411848577,1.9647149047426855,0.75,3.5,流通市值,mtr,True
composite_净资产收益率_TTM_x_itgr,3,0.576951522955586,2.552132451096186,0.6666666666666666,3.0,净资产收益率(TTM),itgr,True
composite_流通市值_x_bm,3,-2.245914970607303,2.245914970607303,0.0,3.3333333333333335,流通市值,bm,True
composite_销售毛利率_TTM_x_dp,3,-1.9359878601745375,1.9359878601745375,0.0,4.333333333333333,销售毛利率(TTM),dp,True
composite_销售净利率_TTM_x_m2gr,3,-1.6233179432073557,1.6233179432073557,0.0,5.0,销售净利率(TTM),m2gr,True
composite_净资产收益率_TTM_x_bm,2,-2.841365875454727,2.841365875454727,0.0,1.0,净资产收益率(TTM),bm,True
composite_净资产收益率_TTM_x_svar,2,-2.7769358100611052,2.7769358100611052,0.0,2.0,净资产收益率(TTM),svar,True
composite_流通市值_x_infl,2,2.438700098948302,2.438700098948302,1.0,2.0,流通市值,infl,True
composite_市净率PB_LF_x_itgr,2,-1.9341620397151993,1.9341620397151993,0.0,3.0,市净率PB(LF),itgr,True
composite_市净率PB_LF_x_m2gr,2,-1.9008348634261818,1.9008348634261818,0.0,3.5,市净率PB(LF),m2gr,True
composite_销售毛利率_TTM_x_m2gr,2,-1.8830087546209664,1.8830087546209664,0.0,3.0,销售毛利率(TTM),m2gr,True
composite_经营活动净收益_利润总额_TTM_x_ep,2,-1.6506406697466294,1.6506406697466294,0.0,4.5,经营活动净收益/利润总额(TTM),ep,True
composite_总资产报酬率_TTM_x_infl,2,1.5083915572520885,1.5083915572520885,1.0,4.0,总资产报酬率(TTM),infl,True
composite_净资产收益率_TTM_x_ep,1,-2.9834497008618484,2.9834497008618484,0.0,2.0,净资产收益率(TTM),ep,True
composite_流通市值_x_svar,1,2.342836598727915,2.342836598727915,1.0,4.0,流通市值,svar,True
composite_净资产收益率_TTM_x_dp,1,-2.3398322844623065,2.3398322844623065,0.0,4.0,净资产收益率(TTM),dp,True
composite_总市值_证监会算法_x_itgr,1,-2.0457800619444817,2.0457800619444817,0.0,5.0,总市值(证监会算法),itgr,True
composite_流通市值_x_ntis,1,-2.0385388258746913,2.0385388258746913,0.0,5.0,流通市值,ntis,True
composite_市销率PS_TTM_x_infl,1,1.9499427476364615,1.9499427476364615,1.0,2.0,市销率PS(TTM),infl,True
composite_总资产周转率_TTM_x_m2gr,1,-1.8611385863678025,1.8611385863678025,0.0,5.0,总资产周转率(TTM),m2gr,True
composite_总资产报酬率_TTM_x_svar,1,-1.8607133807620095,1.8607133807620095,0.0,3.0,总资产报酬率(TTM),svar,True
composite_市净率PB_LF_x_ep,1,-1.852321138302597,1.852321138302597,0.0,4.0,市净率PB(LF),ep,True
composite_流通市值_x_m2gr,1,1.83805519639815,1.83805519639815,1.0,5.0,流通市值,m2gr,True
composite_市净率PB_LF_x_infl,1,1.8137995233836302,1.8137995233836302,1.0,3.0,市净率PB(LF),infl,True
